Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Jonagored Supra and Jonagold	A clone of Jonagored. Fruits are juicy and sweet with a good rich flavour.		Material in the National Fruit Collection not currently available.	Globose conical	large			weak-medium	Green yellow	Red				""		low	medium	
Jonalicious	A chance seedling discovered in 1933 by Anna Morris Daniels in Abilene, Texas, USA. It was introduced in 1960 by Stark Bros. Nurseries, Louisiana, Missouri. Fruits have firm, crisp, juicy flesh with a subacid and aromatic flavour.		Material available from the National Fruit Collection.	Globose	large-very large			weak-medium	Yellow	Red		medium	Cream	16th May10% flowering, 20th MayFull (80%) flowering, 27th May90% petal fall	Mid October	very low	medium-strong	
Jonamac	Raised in 1944 by Roger D. Way, New York State Agricultural Experiment Station. It was introduced in 1972. Fruits have white, semi firm flesh with a good flavour.		Material available from the National Fruit Collection.	Globose	medium	56.23	65.33	absent	Whitish yellow	Red		crisp	White	8th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid September	absent	absent	
Jonared	A more highly coloured sport of Jonathan. It was discovered in 1930 by William Uecher at Peshastin, Washington,USA and introduced in 1934. Fruits have soft, fine-textured, fairly juicy flesh with a sweet and faintly pleasant flavour.		Material available from the National Fruit Collection.	Broad globose conical	large			absent	Yellow	Red			White	6th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October	low	medium	fine
Jonathan (a)	Originated on the farm of Philip Rick, Woodstock, Ulster County, New York, USA. It was first described in 1826 by Judge Buel who named the apple after Jonathan Hasbrouck. Fruits have soft, fine-textured, fairly juicy flesh with a sweet and fairly pleasant flavour.	Djonathan, Dzhonatan, Dzonetn, Esopus Spitzenberg (New), Johnathan, King Philip, King Philipp, Philip Rick, Philipp Rick, Pomme Jonathan, Ulster, Ulster Seedling	Material available from the National Fruit Collection.											""				
Jonathan (b)	Originated on the farm of Philip Rick, Woodstock, Ulster County, New York, USA. It was first described in 1826 by Judge Buel who named the apple after Jonathan Hasbrouck. Fruits have soft, fine-textured, fairly juicy flesh with a sweet and fairly pleasant flavour.	Djonathan, Dzhonatan, Dzonetn, Esopus Spitzenberg (New), Johnathan, King Philip, King Philipp, Philip Rick, Philipp Rick, Pomme Jonathan, Ulster, Ulster Seedling	Material available from the National Fruit Collection.											""				
Jonathan (EMLA 1)	Originated on the farm of Philip Rick, Woodstock, Ulster County, New York, USA. It was first described in 1826 by Judge Buel who named the apple after Jonathan Hasbrouck. Fruits have soft, fine-textured, fairly juicy flesh with a sweet and fairly pleasant flavour.	Djonathan, Dzhonatan, Dzonetn, Esopus Spitzenberg (New), Johnathan, King Philip, King Philipp, Philip Rick, Philipp Rick, Pomme Jonathan, Ulster, Ulster Seedling	Material available from the National Fruit Collection.	Globose conical	medium			weak	Yellow	Red			White	7th May10% flowering, 12th MayFull (80%) flowering, 15th May90% petal fall	Early October	low	medium	fine
Jonathan 15 Welday	Availability		Material available from the National Fruit Collection.	Globose conical	medium			weak	Yellow	Red				""			medium	
Jonathan 19 Welday	Availability		Material available from the National Fruit Collection.	Globose conical	medium			weak	Yellow	Red				""			medium	
Jongrimes	Raised by Roland S. Rogers, Bloomfield, Indiana, USA. It was introduced in the 1920s. Fruits have cream, sweet flesh.	Hoosier Seedling, Stark Jongrimes	Material available from the National Fruit Collection.	Oblong	medium	62.00	65.00	weak	Yellow	Orange	streaked		Cream	30th April10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Mid October			
Jonica	A red fruited mutation of Jonagold. It originated in Germany. Fruits are juicy and sweet with a good rich flavour.		Material in the National Fruit Collection not currently available.											26th April10% flowering, 28th AprilFull (80%) flowering, 7th May90% petal fall	mid october			
Jorayca	A red flushed, earlier ripening clone of Jonagold. Received by Brogdale from C. Carolus, Belgium in 1996. Fruits are juicy and sweet with a good rich flavour.		Material in the National Fruit Collection not currently available.											29th April10% flowering, 1st MayFull (80%) flowering, 9th May90% petal fall	mid october			
Jored	A red fruited mutation of Jonagold having 80-90% red blush colour. It was discovered in 1985 by Johann Nicholai, St Truiden, Belgium. Fruits are juicy and sweet with a good rich flavour.		Material in the National Fruit Collection not currently available.											26th April10% flowering, 29th AprilFull (80%) flowering, 10th May90% petal fall	mid october			
Josefine Kallehave	Originated from Denmark.		Material in the National Fruit Collection not currently available.	Globose conical	medium			weak	Whitish green	Red				""		low	weak-medium	
Josegold	A clone of Jonagold. Originated in the Netherlands.		Material in the National Fruit Collection not currently available.											2nd May10% flowering, 5th MayFull (80%) flowering, 14th May90% petal fall	mid october			
Joseph Musch	Originally found by Joseph Musch, Belgium. Recorded in 1872. Fruits are sweet to eat and also cook well. Good resistance to scab and mildew.	Iosif Mush, Musch	Material available from the National Fruit Collection.	Broad globose conical	large-very large	66.75	89.18	weak-medium	Green yellow	Orange		crisp	White	30th April10% flowering, 3rd MayFull (80%) flowering, 10th May90% petal fall	Early October	low-medium	weak-medium	
Josephine	Availability		Material available from the National Fruit Collection.	Broad globose conical	medium-large	51.00	66.50	medium	Yellow	Brown			Cream	9th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Mid October	low		fine
Josephine Kreuter	Originated in Saint-Florian, Austria. It was first described in 1889. Fruits have rather dry flesh with a subacid flavour.	Josephine Krauter	Material available from the National Fruit Collection.	Ellipsoid	medium	58.00	61.00	medium	Green	Brown	striped		Greenish	1st May10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Late September	low		
Joybells	Raised by Will Tayler at Godalming, Surrey. Records show that trees were grafted in about 1914. It received an Award of Merit from the RHS in 1922. Fruits are crisp and juicy with a sweet and pleasant flavour.	Joy Bells	Material available from the National Fruit Collection.	Globose conical	medium-large	57.00	75.00	weak-medium	Yellow	Red	striped		White	6th May10% flowering, 11th MayFull (80%) flowering, 20th May90% petal fall	Late September			fine
Joyce	Raised in 1898 at the Experimental Farm, Ottawa, Canada. It was introduced in 1924. Fruits have soft, coarse, white flesh with a sweet flavour.		Material available from the National Fruit Collection.	Oblong	medium	60.50	67.00	medium	Whitish yellow	Red	striped		White	29th April10% flowering, 5th MayFull (80%) flowering, 12th May90% petal fall	Early September			coarse
JTE E	Availability		Material in the National Fruit Collection not currently available.											""				
JTE F	Availability		Material in the National Fruit Collection not currently available.											""				
JTE G	Availability		Material in the National Fruit Collection not currently available.											""				
JTE H	Availability		Material in the National Fruit Collection not currently available.											""				
Jubile	Registered name is Delbard Jubile. Raised in 1962 by Delbard Nurseries, France. Fruits are sweet, crisp and juicy with a light aromatic flavour.	Delbard Jubile, Delgollune	Material in the National Fruit Collection not currently available.											23rd April10% flowering, 25th AprilFull (80%) flowering, 5th May90% petal fall	mid october			
Jubile d'Argovie	Originated in Switzerland. It was described in 1934. Fruits have tender, white flesh with an acid flavour.	Aargauer Jubilaumsapfel	Material available from the National Fruit Collection.	Broad globose conical	large			medium	Whitish yellow	Pink			White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October			
Julgrans	Thought to have originated in Sweden. Received by the National Fruit Trials in 1921. Fruits have firm, fine flesh with a subacid to acid flavour.		Material available from the National Fruit Collection.	Oblong	small-medium	44.50	50.50	strong	Green yellow	Dark Red	striped		Greenish	7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early October	low		fine
Julyred	Raised by G.W. Schneider at New Jersey Agricultural Experiment Station, New Brunswick, USA. Fruits have soft, white, juicy flesh with a vinous flavour.		Material available from the National Fruit Collection.	Globose	large			weak	Whitish green	Red			White	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early August	absent	very weak	
Jumbo Ohrin	Raised in 1985 by Mr Sukekuro Taninai, Nakajima Tenkohen Fruit Nurseries, Japan. Fruits are crisp and juicy.		Material in the National Fruit Collection not currently available.											28th April10% flowering, 30th AprilFull (80%) flowering, 9th May90% petal fall	mid october			
June Crewdson	Originated with Bernard Crewdson, Limpsfield, Sussex. It first fruited in 1943. Fruits have firm, fine, crisp flesh with a sweet flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium	53.00	65.00	weak	Green yellow	Red	striped	crisp	White	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late August	low		fine
Juno	Raised in Germany at the Institute of Agriculture and Horticulture. Introduced in 1971. Fruits have a slightly acid flavour.		Material available from the National Fruit Collection.	Flat	large	61.05	77.65	weak-medium	Whitish green	Orange		crumbly	Cream	2nd May10% flowering, 4th MayFull (80%) flowering, 10th May90% petal fall	Early October	low	weak-medium	
Jupiter	Triploid. Raised in 1966 at East Malling Research Station, Kent. It was introduced in 1981. Fruits are sweet and juicy with a good texture and Cox-like flavour.		Material in the National Fruit Collection not currently available.	Globose conical	large	70.93	79.09	weak	Green yellow	Orange			Cream	11th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Early October	low	medium	coarse
Jupp's Russet A	Availability		Material available from the National Fruit Collection.	Broad globose conical	medium			very weak	Whitish green	Red		crisp	White	9th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Late October	very low	absent	fine
Just Gyula	Availability		Material available from the National Fruit Collection.	Flat globose	small-medium	42.00	51.50	medium	Whitish yellow	Red	striped		Yellowish	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Early September			fine
Kaiser Franz Joseph	Thought to have originated in Germany. It was known before 1876. Fruits have tender, fine, whitish flesh with a sweet, vinous, aromatic flavour.	Francis Joseph, Francois Joseph, Kaiseren Elizabeth	Material available from the National Fruit Collection.	Broad globose conical	medium	52.00	69.00	medium	Whitish green	Brown			White	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Early October			fine
Kaiser Wilhelm	Discovered in about 1800 by Head Teacher Hesselman in Witzhelden, Kreis Solingen, Germany. Introduced by the mid 1800s. Fruits have crisp, fine flesh with a subacid, sweet and spicy flavour.	Cesarz Wilhelm, Emperator Wilhelm, Empereur Guillaume, Imperator Vilgelm, Reneta Czerwona, Vilemovo, Vilgelm, Wilhelmapfel	Material available from the National Fruit Collection.	Broad globose conical	large-very large	74.05	83.25	weak-medium	Green yellow	Orange		crisp	Cream	9th May10% flowering, 15th MayFull (80%) flowering, 21st May90% petal fall	Early October	low	medium	
Kalco	Raised at the former Kaiser-Wilhelm Institut, Muncheberg, Germany. It was received by the National Fruit Trials in 1967. Fruits have a sweet, subacid, aromatic flavour.	Carola	Material available from the National Fruit Collection.	Truncate conical	medium			strong	Yellow	Orange			Yellowish	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid September	very low	medium-strong	coarse
Kandil Sinap	Thought to have originated in the early 1800s at Crimea, Russia. Fruits have crisp, snow-white flesh with a sweet, slightly vinous and perfumed flavour.	Candil Sinap, Candile Sinope, Kandil, Kandile, Kantil Sinap, Sari Sinope, Sinap Kandille	Material available from the National Fruit Collection.	Narrow conical	medium	76.80	62.32	weak	Whitish yellow	Orange		crisp	White	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Mid October	very low	very weak	
Kandile	Availability		Material available from the National Fruit Collection.	Globose conical	medium-large			weak-medium	Whitish yellow	Brown		crisp	Cream	13th May10% flowering, 18th MayFull (80%) flowering, 26th May90% petal fall	Mid October	low	weak-medium	
Kansas Queen	Synonyms:	Nouvelle Europe	Material available from the National Fruit Collection.	Globose conical	medium	56.67	62.40	weak-medium	Whitish yellow	Dark Red			White	10th May10% flowering, 15th MayFull (80%) flowering, 21st May90% petal fall	Early September	low	weak	fine
Kapai Red Jonathan (LA 69A)	A more highly coloured sport of Jonathan. Discovered in 1929 by A. Tomlinson in Frimley, Hastings, Hawkes Bay, New Zealand. Fruits have firm, fine flesh with a sweet subacid flavour.	Kapai Jonathan	Material available from the National Fruit Collection.	Globose conical	medium	60.83	68.45	weak-medium	Green yellow	Red			Cream	4th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early October	low	medium	fine
Karina	Availability		Material in the National Fruit Collection not currently available.	Flat globose	medium-large			strong	Whitish green	Dark Red			White	23rd April10% flowering, 25th AprilFull (80%) flowering, 3rd May90% petal fall	Late August	low	medium	fine
Karinable	Availability		Material available from the National Fruit Collection.	Broad globose conical	medium			weak-medium	Whitish green	Pink		crumbly	White	4th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Mid August	very low	medium	coarse
Karmen	Originated in Czechoslovakia. Fruits have soft, juicy flesh with a good but rather acid flavour.		Material in the National Fruit Collection not currently available.	Globose	large	58.78	73.23	very weak	Whitish green	Orange			Greenish	5th May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Mid October	low	weak	
Karmijn de Sonnaville	Raised in 1949 by P. de Sonnaville at IVT, Wageningen, The Netherlands. It was introduced in 1971. Fruits are crisp and juicy with a rich, aromatic flavour.		Material available from the National Fruit Collection.											7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	early october			
Karolka	Synonyms:	Corolca	Material available from the National Fruit Collection.	Broad globose conical	small-medium	47.00	53.00	medium	Green yellow	Orange	striped		White	7th May10% flowering, 12th MayFull (80%) flowering, 21st May90% petal fall	Late September			
Katja	Raised in 1947 at Balsgard Fruit Breeding Institute, Sweden. It was introduced in 1966. Fruits are crisp and juicy with a pleasant flavour.	Katy	Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Whitish yellow	Red			Cream	7th May10% flowering, 12th MayFull (80%) flowering, 21st May90% petal fall	Early September	low	weak	
Keed's Cottage	Availability		Material available from the National Fruit Collection.	Flat	large	54.00	73.00	medium	Whitish yellow	Orange	streaked		Cream	29th April10% flowering, 4th MayFull (80%) flowering, 12th May90% petal fall	Late September			fine
Keepsake	Availability		Material available from the National Fruit Collection.	Truncate conical	medium			weak-medium	Whitish yellow	Orange				""		low	weak	
Kemp	Originated in Ireland, possibly Ulster. It was known in 1837. Fruits have firm, coarse flesh with a subacid flavour.	May Bloom	Material available from the National Fruit Collection.	Flat	large	64.00	89.00	weak-medium	Green yellow	Brown	striped		White	9th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Late August	very low		coarse
Kendall	Raised in 1912 at New York State Agricultural Experiment Station, Geneva, New York, by Richard Wellington. It was introduced in 1932. Fruits have soft flesh with a sweet, subacid flavour.		Material available from the National Fruit Collection.	Conical				weak	Yellow	Red			Greenish	2nd May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Early October	very low		fine
Kenneth	Raised in 1920 by Kenneth McCreadie at Rhyl, Wales. Fruits have somewhat coarse, soft flesh with a subacid and sweet flavour.		Material available from the National Fruit Collection.	Oblong	medium-large	57.50	66.00	weak-medium	Yellow	Brown	streaked			9th May10% flowering, 14th MayFull (80%) flowering, 23rd May90% petal fall	Mid October	very low		coarse
Kentish Fillbasket	Thought to have originated in Kent, England. It was known before 1820. Fruits have tender, greenish-white, acid flesh.	Fill Basket, Fillbasket, Kent Fillbasket, Kentish Filbasket, Kentish Fill Basket, Kentish Pippin, Lady de Gray's, Lady de Grey, Lady de Grey's, Lady de Greys, Potter's Large, Potter's Large Grey Seed ling, Potter's Large Seedling, Potters Large, Weisser Kentischer Pepping	Material available from the National Fruit Collection.	Flat	large	57.50	73.00	medium	Whitish yellow	Brown	striped	crisp	Cream	3rd May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Mid October	low		
Kentish Quarrenden	Availability		Material available from the National Fruit Collection.	Flat	medium	45.00	60.50	medium	Green yellow	Red			White	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid October			fine
Kentucky Red Streak	Originated in USA. It was known before 1864. Fruits have firm, fine flesh with a subacid flavour.	Bradford's Best, Kentucky Redstreak, Kentucky Rouge Strie, Kentucky Rouge Striee, Kentucky Streak, Selina	Material available from the National Fruit Collection.	Globose conical	medium	62.33	69.63	weak-medium	Green yellow	Red		crumbly	White	3rd May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Late October	very low	medium	fine
Kercsi Muskotaly	Availability		Material available from the National Fruit Collection.	Truncate conical	medium	45.00	51.00	medium	Whitish green	Brown			Greenish	1st May10% flowering, 5th MayFull (80%) flowering, 12th May90% petal fall	Mid October			fine
Kerry Pippin	Originated in Ireland. It was first recorded in 1802. Fruits have firm, crisp but rather dry flesh with a good aromatic flavour.	Aromatic Pippin, Aromatic Pippin Edmonston, Donabety, Edmonston's Aromatic, Edmonston's Aromatic Pippin, Edmonton, Edmonton Aromatic, Edmonton Aromatic Pippin, Edmonton's Aromatic Pippin, Kelly Pepping, Odelson's, Odelsons, Pepin de Kerry, Pippin Early Red, Red Streak Pippin	Material available from the National Fruit Collection.	Oblong	medium	55.00	52.00	absent	Orange	Red		crisp	Yellowish	2nd May10% flowering, 7th MayFull (80%) flowering, 16th May90% petal fall	Late August	very low		
Keswick Codlin	Found growing on a heap of rubbish at Gleaston Castle near Ulverston, Lancashire, England. It was recorded in 1793. Introduced by nurseryman John Sander at Keswick, Cumbria, England. Fruits have soft, rather coarse-textured, somewhat dry and acid flesh.	Codlin de Keswick, Codlin de Koswick, Codlin Keswick, Everbearing, Keswick, Keswick Codling, Keswicker Kuchen Apfel, Keswicker Kuchenapfel, Keswicks Codling, Kodlin kesvikskii, Koswick Codlin, Koswicker Kuchenapfel, Pinder's Apple, White Codlin	Material available from the National Fruit Collection.	Broad globose conical	medium-large	65.50	72.50	medium	Yellow	Red			Yellowish	30th April10% flowering, 5th MayFull (80%) flowering, 12th May90% petal fall	Mid August			
Khoroshavka Alaya	Originated in Russia. It was known in 1892. Fruits have fine, crisp, pinkish white flesh with an acid flavour.	Bella Scarlatta, Ikorocavka Alaja, Khorochavka alaia, Khorochavka Alaja	Material available from the National Fruit Collection.	Truncate conical	medium	55.00	60.00	medium	Whitish yellow	Pink	striped	crisp	Pinkish	5th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Mid August	very low		fine
Kidd's Orange Red (LA)	Raised in 1924 at Greytown, Wairarapa, New Zealand by J.H.Kidd. It was introduced to the UK in about 1932. Fruits have firm, crisp, juicy, sweet flesh with a rich aromatic flavour.	Delco, Kidd's Orange, Kidd's Oranje Roode	Material available from the National Fruit Collection.	Truncate conical	medium	54.00	67.00	medium	Yellow	Orange	striped	crisp	Cream	6th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Mid October	very low		fine
Kile	Availability		Material available from the National Fruit Collection.	Broad globose conical	medium			very weak	Whitish green	Red			White	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early October	low	absent	
Kilkenny Pearmain	Originated in Ireland. It was recorded in 1831. Fruits have fine, tender, dry flesh with a sweet flavour.		Material available from the National Fruit Collection.	Truncate conical	medium	51.00	60.50	weak	Yellow	Orange	streaked		Cream	9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Late September	very low		fine
Kim	Raised by P. Bergendal in 1946 at Agricultural College, Balsgard, Sweden. It was introduced in the late 1970s. Fruits are crisp and juicy with a sweet and acid flavour.		Material available from the National Fruit Collection.	Flat globose	large			weak	Whitish yellow	Dark Red		crisp	White	2nd May10% flowering, 6th MayFull (80%) flowering, 16th May90% petal fall	Late September	low	very weak	
Kimball McIntosh	A larger fruited sport of McIntosh. Discovered in 1948 in Littleton, Massachusetts, USA by R. Kimball. Fruits have rather soft, fine-textured,very juicy flesh with a sweet and vinous flavour.		Material available from the National Fruit Collection.											4th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid September			
King Albert	Availability		Material available from the National Fruit Collection.	Broad globose conical	large	61.00	77.50	medium	Green yellow	Red	striped		Cream	4th May10% flowering, 10th MayFull (80%) flowering, 20th May90% petal fall	Mid August			
King Byerd	Synonyms:	King Bayard	Material available from the National Fruit Collection.	Oblong	large			medium-strong	Yellow	Orange	streaked	crisp	Cream	10th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Late October	low		fine
King Charles Pearmain	Originally received by Hogg in 1876 from nurseryman John Smith of Worcester. Fruits have firm, crisp flesh with a sweet and rich flavour.	King Charles' Pearmain	Material available from the National Fruit Collection.	Broad globose conical	medium	51.00	64.00	medium	Yellow	Red		crisp		10th May10% flowering, 17th MayFull (80%) flowering, 26th May90% petal fall	Early October	medium		
King Coffee	Availability		Material available from the National Fruit Collection.	Flat globose	large	57.00	73.00	absent	Green yellow	Red			Greenish	11th May10% flowering, 17th MayFull (80%) flowering, 26th May90% petal fall	Early October			coarse
King Cole	Raised by R.G. Cole at Lang Lang, Victoria, Australia. It was first exhibited in 1912. Fruits have firm, fine, greenish white flesh with a subacid flavour.	Cole, R. G. Cole's Champion	Material available from the National Fruit Collection.	Globose conical	small-medium			weak-medium	Whitish yellow	Red			Cream	4th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Mid October	low	weak-medium	coarse
King Cox (Giles)	A more striped form of Cox's Orange Pippin. It was discovered by R.W. Giles at Perryfields, Bromsgrove, Worcestershire. Received by the National Fruit Trials in 1959. Fruits are juicy and sweet with a rich aromatic, nutty flavour.	Scarlet Cox	Material available from the National Fruit Collection.											7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Late September			
King David	Discovered in 1893 in a hedgerow in Washington County, Arkansas, USA. It was introduced in 1902 by stark bros., Louisiana, USA. Fruits have rather coarse flesh with a subacid, slightly sweet flavour.		Material available from the National Fruit Collection.	Truncate conical	medium			weak	Yellow	Red			Greenish	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid October			coarse
King George V	Raised in about 1898 by Lady Thorncroft at Bembridge, Isle of Wight, England. It was introduced by J. Cheal & Sons, nurserymen, Crawley, Sussex. Received Award of Merit from RHS in 1928. Fruits have crisp, fine-textured, moderately juicy flesh with a subacid and good aromatic flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium	50.00	67.00	weak	Green yellow	Orange	striped	crisp	Cream	9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Mid October			coarse
King Jonagold	An even red flushed clone of Jonagold. Discovered in 1985 by nurseryman J. Nicolai, Belgium. Fruits are juicy and sweet with a good rich flavour.		Material in the National Fruit Collection not currently available.											25th April10% flowering, 28th AprilFull (80%) flowering, 7th May90% petal fall	mid october			
King of the Pippins	Origin confused but is identical to Reine des Reinettes grown in France. Introduced by Kirke of Brompton as King of the Pippins, but prior name appears to have been Golden Winter Pearmain. First recorded in 1800. Fruits are firm, juicy and subacid with a	Aranyparmen, die Englische Winter-Goldparmane, Englische Winter Gold Parmaene, Englische Winter Gold Parmane, Englische Winter Gold Pearmain, Englische Winter Gold-Parmane, Englische Winter Golden Pearmain, Englische Winter Goldparmane, Englische Winter Winter-Gold-Parmane, Englische Winter-Gold-Parmane, Englische Winter-Goldparmane, Englische Wintergoldparmane, English Winter Golden Pear, George I, George II, Gold Parmaene, Gold Parmane, Golden Winter Pearmain, Golden Winter-Pearmain, Golden-Winter-Pearmain, Goldparmane, Goldreinette, Guld Pearmain, Guld-Pearmain, Guldparman, Guldpearmain, Gullparman, Hampshire Golden Pippin, Hampshire King of the Pippins, Hampshire Yellow, Hampshire Yellow Golden Pippin, Hamshire Yellow, Herzogs Reinette, Jone's Southampton Pippin, Jones, Jones Southampton Pippin, Jones Southampton Pippins, Jones' Southampton Pippin, Jones' Southampton Yellow, Jones's Southampton Pippin, King of Pippins, King of the Pippin, King Pippin, Krolowa renet, Orange Pearmain, Parm einette, Parmain d'Or, Parmain Doree, Parmaine Doree, Parmen zimnii zolotoi, Parmena zlata, Parmena zlata zimna, Parmena zlata zimni, Pearmain Dorata, Pearmain Dorato, Pearmain dorato d'inverno, Pearmain Dore, Pearmain Dore d'hiver, Pearmain Doree, Pearmain Doree d'Hiver, Pearmain-doree d'hiver, Pike's Pearmain, Polosatii Safran, Polosatii shafran, Prince of Pippins, Prince's Pippin, Princess Pippin, Queen of the Pippins, Regina delle Renette, Reine des Reinettes, Reinette d'Oree, Reinette de Friesland Hative, Reinette de la Couronne, Reinette Siavee, Seek no Farther, Seek no Further, Seek-no-Further, Shropshire Pippin, Teli arany parmen, The King of Pippins, Ventinus Ellacott, Ventinuss Ellicott Pippin, Ventmus Ellicott Pippin, Ventmuss Ellicot, Ventmuss Ellicott, Ventmuss Ellicott Pippin, Vermillon Raye, Vermillon Rayee, Vinter Guldpearmain, Winter Gol Parmane, Winter Gold Parmaene, Winter Gold Parmane, Winter Gold Pearmain, Winter Goldparmane, Winter Pearmain, Winter-Gold-Parmane, Winter-Goldparmane, Wintergoldparmane, Zimni zlote parmena, Zimnii zolotoi parmen, Zlata zimni parmena, Zlatna parmena, Zlota Reneta, Zlotoi Parmen	Material available from the National Fruit Collection.											6th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	early october			
King of Tompkins County	Triploid. Thought to have been raised near Washington, Warren County, New Jersey, USA. Brought to Tompkins County, New York in 1804 by Jacob Wycoff who named it King. It was renamed King of Tompkins County in about 1855. Fruits have somewhat soft, slightly juicy flesh with a sweet and good aromatic flavour.	Flat Spitzenburg, King, King Apple, King Apple of America, King Jankins County, King of Thompson's County, King of Tomkins County, King of Tompkins Co., King's Apple, Roi du Tompkins, Tom's Red, Toma Red, Tomkin's County King, Tommy Red, Tompkins County King, Tompkins King, Tompkins' King, Winter King	Material available from the National Fruit Collection.	Broad globose conical	large			medium	Yellow	Red		crisp	Yellowish	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid October	very low		coarse
King Russet	A russetted form of King of the Pippins. It was discovered in the late 1950s at Rookery Farm, Bordon, Hampshire, England. Fruits have dry, quite sharp flesh with a distinct russet flavour.		Material available from the National Fruit Collection.											7th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	early october			
King's Acre Bountiful	Introduced in 1904 by King's Acre Nurseries, Hereford. Received Award of merit from RHS in 1904. Fruits have firm, greenish white flesh.		Material available from the National Fruit Collection.	Flat	large-very large	70.06	94.28	weak-medium	Whitish yellow	Orange		crisp	White	19th May10% flowering, 23rd MayFull (80%) flowering, 29th May90% petal fall	Early September	low	weak-medium	
King's Acre Pippin	First recorded in 1897. Introduced by King's Acre Nurseries, Hereford in 1899. Received Award of Merit from RHS in 1897. Fruits have firm, coarse-textured, juicy flesh with a rich aromatic flavour.	Cranston's, Cranston's Pippin, Ribston Pearmain	Material available from the National Fruit Collection.	Broad globose conical	medium-large	57.50	72.50	medium-strong	Green yellow	Orange	striped	crisp	Greenish	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid October	high-very high		fine
Kingston Black	Believed to be a Somerset apple and possibly raised at Kingston, near Taunton. This variety was introduced into Herefordshire c.1820 by Mr Palmer of Bollitree Estate, Weston-under-Penyard near Ross-on-Wye. Trees are of medium size and have a spreading habit. Susceptible to scab. Fruits are medium to small in size and produce a full bodied, excellent quality cider with a distinctive flavour.		Material available from the National Fruit Collection.											8th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	late september			
Kinkead Red Spy	A more highly coloured sport of Northern Spy. It was received by the National Fruit Trials via Scotland from the Experimental Farm, Ottawa, Canada. Fruits have fairly firm, fine-textured, juicy flesh with a sweet and pleasant flavour.		Material available from the National Fruit Collection.											15th May10% flowering, 19th MayFull (80%) flowering, 24th May90% petal fall	mid october			
Kinrei	Raised in 1932 at Aomori Apple Experiment Station, Japan. It was named in 1948. Fruits have firm, crisp flesh with a moderately sweet flavour.	Orei	Material available from the National Fruit Collection.	Flat globose	small			weak-medium	Yellow			crisp	Cream	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late October		medium	fine
